Papa Johns  Cheesestic ks,,Papa Johns,Branded,1 serving,60,180,8,8,20,,,,,,,,
Cheetos  Cheesy Krunchy,Indian namkeen,Cheetos,Branded,100 g ,100,577,5.5,38,53.3,4,,,,825,,,
Pizza hut  Cheesy Veg BlastLasagna,,Pizza hut,Branded,1 serving,,346.5,14.3,16.9,34.1,5.1,,,,1.3,,,
Pizza hut  Chicken BonanzaLasagna,,Pizza hut,Branded,2 serving,,386.89,21.86,21.11,26.85,5.49,,,,1.29,,,
Starbucks  Chicken Caesar Wrap,,Starbucks,Branded,1 serving,,490,17,29,41,,4,,,,,,
Costa  Chicken Fajita Wrap ,,Costa,Branded,1 serving,,435,20.9,15.3,51.6,4.5,,6.5,,,,,
Chicken fat,0,Fats & Oils,Ingredient,1 tbsp,13,115,0,13,0,0,0,3.81,11,0,,,
KFC  Chicken Fiery Grilled Drum Pc,,KFC,Branded,1 serving,77.3,131.7,19.43,5.77,0.52,,,1.69,,0.61,,,
KFC  Chicken Hot wings (regular size - 3 pcs),,KFC,Branded,1 serving,110,342.3,25.48,22.96,8.44,,,8.46,,1.08,,,
Pizza hut  Chicken JewelCrown Pizza,,Pizza hut,Branded,1 slice,116,238,12.95,8.84,26.32,4.28,,,,0.82,,,
McDonalds  Chicken Maharaja Mac,,McDonalds,Branded,1 serving,246,545,26,26,60,7,5,8.9,,1030,,,
Pizza hut  Chicken majesticCrown Pizza,,Pizza hut,Branded,1 slice,130,264,13.7,9.36,29.4,4.34,,,,0.89,,,
McDonalds  Chicken McGrill,,McDonalds,Branded,1 serving,130,282,12,11,33,5,3,3.3,,570,,,
Pizza hut  Chicken MexicoBig pizza,,Pizza hut,Branded,6 slice,80,219,12,7.2,26.9,0.7,,,,0.7,,,
Pizza hut  Chicken RiceBirriza,,Pizza hut,Branded,1 serving,330.5,550.41,23.79,11.27,88.44,<0.1,,,,1.69,,,
KFC  Chicken Rockin,,KFC,Branded,1 serving,150,404.88,18.75,19.38,38.87,,,6.54,,0.68,,,
Starbucks  Chicken Santa Fe Panini,,Starbucks,Branded,1 serving,,370,22,13,45,,2,,,,,,
Pizza hut  Chicken Skewers (Assorted Chicken Skewer),,Pizza hut,Branded,1 serving,216,365.04,39.16,20.61,5.83,0.19,,9.03,,1.47,,,
Pizza hut  Chicken Skewers (Jamaican Jerk Spiced Chicken),,Pizza hut,Branded,1 serving,115,194.4,20.8,11,3.1,0.1,,4.8,,0.8,,,
Pizza hut  Chicken Skewers (Thai Chicken),,Pizza hut,Branded,1 serving,115,172.5,24.48,6.76,3.47,0.1,,2.2,,1.16,,,
KFC  Chicken Snacker,,KFC,Branded,1 serving,105.3,257.5,12.68,8.93,31.61,,,2.78,,0.5,,,
Pizza hut  Chicken splendor Crown Pizza,,Pizza hut,Branded,1 slice,124,279,15,10.79,29.64,5.58,,,,1.05,,,
Pizza hut  Chicken TwistSo Cheesy pizza,,Pizza hut,Branded,1 slicePersonal,109.75,353.54,15.93,16.12,36.17,1.2,,,,0.64,,,
Pizza hut  Chicken TwistSo Cheesy pizza,,Pizza hut,Branded,1 sliceMedium,131.33,423.07,19.06,19.3,43.29,1.43,,,,0.76,,,
Pizza hut  Chicken Wings (Red n hot),,Pizza hut,Branded,1 serving,171,280.44,30.92,14.16,7.4,0.15,,4.12,,0.79,,,
KFC  Chicken Zinger Burger (without  cheese),,KFC,Branded,1 serving,195.8,463,25.2,21.3,42.63,,,6.6,,0.97,,,
Lays  Chile Limon Flavour,Potato chips,Lays,Branded,100 g ,100,556,7.3,36.6,49.4,3.4,,,,1002,,,
Maggi  Chili Chow Cuppa Noodles (portion size 70 gms),,Maggi,Branded,100 gms,100,472,8.8,19,56.5,2.25/.6,2.7,11,,1332.5,,,
Kurkure  Chilli Chatka,Indian namkeen,Kurkure,Branded,100 g ,100,561,6.4,35.7,53.6,3,,,,857,,,
McDonalds  Chilli Sauce,,McDonalds,Branded,1 serving,10,9,0,0,2,2,0,0,,60,,,
Pizza hut  Choco chip cookie sundae,,Pizza hut,Branded,1 serving,275,1087.89,14.91,47.05,151.43,50,,,,494.4,,,
Pizza hut  Chocoholic Symphony,,Pizza hut,Beverages,1 serving,80,177.6,3.6,9.66,19.2,13.6,,,,0.16,,,
KFC  Chocolash,,KFC,Beverages,1 serving,302,402.6,11.02,16.61,52.25,,,11.48,,,,,
Costa  Chocolate Babyccino Full Fat ,,Costa,Beverages,Solo,,85,2.5,2.4,13.2,11.8,,1.5,,,,,
Costa  Chocolate Babyccino Skimmed ,,Costa,Beverages,Solo,,70,2.6,0.6,13.4,12,,0.4,,,,,
Costa  Chocolate Babyccino Soya ,,Costa,Beverages,Solo,,75,2.5,1.5,12.3,10.9,,0.5,,,,,
Starbucks  Chocolate Brioche,,Starbucks,Branded,1 serving,,390,7,22,40,,2,,,,,,
Starbucks  Chocolate Caramel Pretzel,,Starbucks,Branded,1 serving,,230,3,9,34,,4,,,,,,
Starbucks  Chocolate Chip Cookie,,Starbucks,Branded,1 serving,,440,6,21,62,,2,,,,,,
Costa  Chocolate Tiffin Triangle ,,Costa,Branded,1 serving,,483,4.5,29.1,49.7,34.2,,14.9,,,,,
Costa  Chocolate Twist ,,Costa,Beverages,1 serving,,351,5.4,15.5,46.1,21.8,,10.1,,,,,
Kelloggs  Chocos,,Kelloggs,Branded,1 serving,30,111,1.5,0.8,25.18181818,7.545454545,2.7,0.4,0,90,,,
Kelloggs  Chocos smacks,,Kelloggs,Branded,1 serving,30,116,1.2,0.9,25.8,7.9,2.3,0.5,0,120,,,
Starbucks  Cinnamon Brioche,,Starbucks,Branded,1 serving,,370,6,16,52,,2,,,,,,
Costa  Cinnamon Latte Full Fat ,,Costa,Beverages,Small,,156,6.4,6.9,17.2,17,,4.3,,,,,
Costa  Cinnamon Latte Full Fat ,,Costa,Beverages,Medium,,242,10,10.7,26.5,26.1,,6.7,,,,,
Costa  Cinnamon Latte Full Fat ,,Costa,Beverages,Large,,314,12.9,13.8,34.8,34.2,,8.6,,,,,
Costa  Cinnamon Latte Skimmed ,,Costa,Beverages,Small,,100,6.6,0.3,17.8,17.6,,0.2,,,,,
